ImageID,Labels,Caption
130.jpg,3 5,"['large', 'commercial', 'airplane', 'parked', 'runway']"
131.jpg,1,"['several', 'people', 'around', 'table', 'getting', 'ready', 'cut', 'cake']"
132.jpg,1 15,"['young', 'man', 'riding', 'skateboard', 'side', 'ramp']"
133.jpg,8 1,"['herd', 'cows', 'standing', 'grass', 'covered', 'field']"
134.jpg,9 1,"['couple', 'boats', 'river']"
135.jpg,1,"['two', 'young', 'children', 'ramp', 'skate', 'boards']"
136.jpg,11,"['close', 'yellow', 'fire', 'hydrant', 'near', 'wall']"
137.jpg,16,"['lone', 'bird', 'flying', 'past', 'chemical', 'plants', 'smoke', 'stacks']"
138.jpg,8 10 3,"['stalk', 'broccoli', 'sitting', 'dashboard', 'car']"
139.jpg,1 3 6 8 10,"['blue', 'red', 'white', 'truck', 'buildings']"
140.jpg,1,"['person', 'swing', 'tennis', 'racket']"
141.jpg,1,"['homemade', 'pizza', 'came', 'oven']"
142.jpg,1,"['man', 'holding', 'white', 'surfboard', 'standing', 'ocean']"
143.jpg,7,"['wagon', 'rides', 'track', 'old', 'town']"
144.jpg,1,"['woman', 'arms', 'around', 'man', 'holding', 'frisbee', 'field']"
145.jpg,1,"['man', 'tattoo', 'seen', 'dress', 'shirt', 'sleeve', 'holds', 'rose']"
146.jpg,1,"['people', 'dressed', 'skiing', 'standing', 'snow']"
147.jpg,1 3,"['two', 'girls', 'sit', 'ground', 'looking', 'phones']"
148.jpg,18,"['dog', 'seems', 'walking', 'frozen', 'water']"
149.jpg,1,"['person', 'swing', 'tennis', 'racket', 'tennis', 'ball']"
150.jpg,8 5,"['plane', 'runway', 'waiting', 'take', 'airport']"
151.jpg,18,"['dog', 'sitting', 'top', 'toilet']"
152.jpg,2 6,"['bicycle', 'book', 'bag', 'chained', 'bike', 'stand']"
153.jpg,1 19,"['people', 'riding', 'horses', 'water']"
154.jpg,1,"['man', 'riding', 'wave', 'top', 'surfboard']"
155.jpg,1,"['two', 'men', 'riding', 'skis', 'snow', 'covered', 'ski', 'slope']"
156.jpg,18,"['close', 'dog', 'laying', 'chair']"
157.jpg,1 18,"['man', 'kneeling', 'next', 'brown', 'dog']"
158.jpg,3,"['open', 'brown', 'refrigerator', 'sitting', 'asphalt', 'street']"
159.jpg,7,"['large', 'long', 'train', 'steel', 'track']"
160.jpg,1 3 6,"['blue', 'bus', 'driving', 'street', 'next', 'cars']"
161.jpg,1,"['man', 'standing', 'next', 'guitar', 'case', 'talking', 'cell', 'phone']"
162.jpg,1,"['people', 'sit', 'along', 'tables', 'chairs', 'bags']"
163.jpg,1 6,"['yellow', 'red', 'bus', 'traveling', 'past', 'tall', 'building']"
164.jpg,1,"['woman', 'holding', 'tennis', 'racket', 'green', 'tennis', 'court']"
165.jpg,1,"['riding', 'skateboard', 'ramp']"
166.jpg,16,"['zebra', 'ostrich', 'next']"
167.jpg,1,"['massive', 'crowd', 'people', 'standing', 'top', 'sandy', 'beach']"
168.jpg,1,"['naked', 'child', 'brushing', 'teeth', 'mirror']"
169.jpg,15,"['snow', 'covered', 'park', 'bench', 'snow', 'covered', 'park']"
170.jpg,1,"['two', 'female', 'friends', 'share', 'chocolate', 'covered', 'doughnut']"
171.jpg,1,"['man', 'air', 'wall', 'skateboard']"
172.jpg,1,"['man', 'standing', 'top', 'tennis', 'court', 'holding', 'racquet']"
173.jpg,1,"['room', 'rug', 'table', 'chairs', 'items']"
174.jpg,1,"['group', 'young', 'men', 'holding', 'skateboards', 'standing', 'front', 'store']"
175.jpg,1,"['man', 'sitting', 'chair', 'living', 'room']"
176.jpg,1 6,"['man', 'suitcase', 'stands', 'near', 'street']"
177.jpg,7,"['white', 'yellow', 'passenger', 'train', 'sits', 'rail', 'tower', 'background']"
178.jpg,1,"['ribs', 'sitting', 'cutting', 'board', 'next', 'apple', 'slices', 'leaves']"
179.jpg,1,"['man', 'sitting', 'front', 'laptop', 'computer']"
180.jpg,1,"['black', 'white', 'picture', 'man', 'surfing']"
181.jpg,1 18,"['man', 'riding', 'back', 'dog', 'sled']"
182.jpg,16,"['group', 'birds', 'standing', 'top', 'body', 'water', 'looking', 'food']"
183.jpg,1 3 4 10 18,"['man', 'riding', 'red', 'motorcycle', 'street', 'dog', 'back']"
184.jpg,1 3,"['car', 'driving', 'street', 'town', 'center']"
185.jpg,17,"['cat', 'staring', 'viewer', 'sits', 'bathroom', 'sink']"
186.jpg,1 2 19 7,"['horse', 'drawn', 'carriage', 'driving', 'street']"
187.jpg,17 1,"['brindled', 'cat', 'laying', 'near', 'woman', 'foot', 'wearing', 'cat', 'shoe']"
188.jpg,1,"['five', 'girls', 'jumping', 'air', 'two', 'holding', 'ball', 'bats']"
189.jpg,1,"['group', 'people', 'table', 'laptops']"
190.jpg,1,"['two', 'girls', 'apartment', 'play', 'lively', 'video', 'game']"
191.jpg,1,"['man', 'leaning', 'gets', 'ready', 'serve', 'ball']"
192.jpg,1,"['man', 'holding', 'wine', 'glass', 'small', 'amount', 'red', 'wine']"
193.jpg,17,"['cat', 'looking', 'two', 'pieces', 'luggage']"
194.jpg,1,"['person', 'surfboard', 'water']"
195.jpg,1,"['woman', 'getting', 'ready', 'hit', 'ball', 'tennis', 'racket']"
196.jpg,1,"['close', 'person', 'wearing', 'suit', 'tie']"
197.jpg,1 19,"['man', 'riding', 'back', 'brown', 'horse', 'next', 'tree']"
198.jpg,1,"['picture', 'person', 'baseball', 'air']"
199.jpg,1,"['two', 'girls', 'one', 'washing', 'dishes']"
200.jpg,8 1 3 6,"['double', 'decker', 'bus', 'street', 'outside', 'building']"
201.jpg,9 1,"['umbrella', 'covered', 'lawn', 'chairs', 'line', 'beach', 'beautiful', 'blue', 'ocean']"
202.jpg,1 15,"['women', 'hiding', 'sun', 'city', 'bench']"
203.jpg,11,"['fire', 'hydrant', 'concrete', 'pad', 'amid', 'rock', 'bed']"
204.jpg,1,"['small', 'children', 'learning', 'tennis', 'modifgied', 'court']"
205.jpg,16 8 3,"['flock', 'birds', 'flying', 'toward', 'domed', 'building']"
206.jpg,1 19,"['man', 'riding', 'horse', 'green']"
207.jpg,1,"['group', 'people', 'stand', 'beach', 'partly', 'cloudy', 'day']"
208.jpg,8 1 5,"['large', 'jetliner', 'sitting', 'top', 'airport', 'tarmac']"
209.jpg,1,"['skateboarder', 'mid', 'air', 'jump']"
210.jpg,5,"['large', 'passenger', 'jet', 'flying', 'blue', 'sky']"
211.jpg,1 3,"['refrigerator', 'parked', 'cars', 'snowy', 'city', 'street']"
212.jpg,8 3,"['white', 'tower', 'sitting', 'middle', 'brick', 'planter']"
213.jpg,1 18 4,"['dog', 'standing', 'motorcycle']"
214.jpg,17,"['black', 'white', 'cat', 'sitting', 'top', 'pillow', 'chair']"
215.jpg,1,"['skier', 'jumping', 'air', 'landing', 'snow']"
216.jpg,1,"['man', 'brown', 'suit', 'sitting', 'table', 'microphone', 'listening']"
217.jpg,8 1 4,"['group', 'people', 'motor', 'bikes', 'road']"
218.jpg,1 18 15,"['man', 'grey', 'shirt', 'camera', 'bench', 'next', 'two', 'dogs']"
219.jpg,1,"['small', 'child', 'skis', 'next', 'group', 'adults', 'also', 'skis']"
220.jpg,1,"['people', 'brown', 'white', 'animal', 'grass']"
221.jpg,1 19,"['large', 'horse', 'attached', 'carriage']"
222.jpg,1,"['baseball', 'player', 'swinging', 'baseball', 'bat', 'home', 'plate']"
223.jpg,1,"['young', 'boy', 'soccer', 'uniform', 'kicking', 'ball']"
224.jpg,1 3,"['woman', 'sitting', 'front', 'laptop', 'computer']"
225.jpg,1,"['woman', 'outdoor', 'dining', 'room', 'table', 'looking', 'food']"
226.jpg,1,"['snowboarder', 'large', 'snow', 'covered', 'slope', 'alpine', 'area']"
227.jpg,17,"['cat', 'standing', 'top', 'wooden', 'table']"
228.jpg,1,"['group', 'kids', 'play', 'frisbee', 'muddy', 'field', 'rains']"
229.jpg,1,"['several', 'people', 'surfboards', 'waiting', 'good', 'wave']"
230.jpg,1,"['two', 'children', 'lie', 'bed', 'blanket']"
231.jpg,10 7,"['cargo', 'train', 'traveling', 'past', 'large', 'power', 'poles']"
232.jpg,1,"['person', 'trick', 'surfboard', 'ocean']"
233.jpg,1,"['tennis', 'player', 'getting', 'ready', 'serve', 'ball']"
234.jpg,1,"['people', 'standing', 'field', 'kites', 'flying']"
235.jpg,1,"['woman', 'throwing', 'orange', 'frisbee', 'kid']"
236.jpg,1,"['woman', 'standing', 'tennis', 'court', 'holding', 'racquet']"
237.jpg,1,"['boy', 'snow', 'board', 'poses', 'camera']"
238.jpg,1,"['woman', 'standing', 'front', 'kitchen', 'counter']"
239.jpg,1,"['young', 'girl', 'stands', 'bunk', 'bed', 'holding', 'paper']"
240.jpg,17,"['cat', 'sitting', 'window', 'next', 'plant']"
241.jpg,1,"['couple', 'men', 'playing', 'game', 'frisbee']"
242.jpg,9,"['row', 'boats', 'moored', 'pier', 'lake', 'surrounded', 'mountains']"
243.jpg,1 6,"['two', 'buses', 'driving', 'curvy', 'street', 'next', 'building']"
244.jpg,1 3 6,"['sightseeing', 'bus', 'side', 'road']"
245.jpg,1,"['group', 'men', 'standing', 'next', 'dancing']"
246.jpg,1 2,"['reclining', 'lounge', 'chair', 'mounted', 'bicycle']"
247.jpg,1,"['row', 'people', 'field', 'standing', 'umbrellas']"
248.jpg,1 15,"['man', 'flying', 'air', 'riding', 'skateboard']"
249.jpg,1 3 4 8 10,"['view', 'street', 'closed', 'police', 'cars', 'construction', 'workers']"
250.jpg,1,"['group', 'people', 'busy', 'work', 'studying']"
251.jpg,1,"['group', 'people', 'playing', 'video', 'games', 'together']"
252.jpg,1,"['man', 'blue', 'shirt', 'sitting', 'toilet', 'next', 'sink', 'mirror']"
253.jpg,1 7 15,"['number', 'locomotive', 'train', 'engines', 'cars', 'multiple', 'set', 'train', 'tracks']"
254.jpg,1,"['several', 'pizzas', 'plates', 'next', 'stacks', 'plates']"
255.jpg,1,"['group', 'women', 'gathered', 'living', 'room']"
256.jpg,8 1 18 3,"['dog', 'hanging', 'head', 'truck', 'window']"
257.jpg,1,"['crowd', 'young', 'children', 'wearing', 'baseball', 'uniforms']"
258.jpg,1,"['man', 'flying', 'air', 'riding', 'skis']"
259.jpg,1 3,"['man', 'flying', 'kite', 'top', 'green', 'field']"
260.jpg,8 1 3 15,"['person', 'sitting', 'front', 'many', 'surfboards']"
261.jpg,1 4,"['racing', 'motorcycle', 'sitting', 'racks', 'next']"
262.jpg,1,"['man', 'walking', 'brick', 'sidewalk', 'umbrella']"
263.jpg,1,"['two', 'tennis', 'players', 'team', 'match']"
264.jpg,1 2 3,"['turquoise', 'compact', 'car', 'bicycle', 'rack', 'top']"
265.jpg,1,"['woman', 'holding', 'juicy', 'peach', 'one', 'bite', 'taken']"
266.jpg,1,"['person', 'holding', 'bucket', 'another', 'feeds', 'giraffe']"
267.jpg,8 1,"['group', 'young', 'people', 'playing', 'game', 'frisbee']"
268.jpg,1 3 13,"['two', 'urban', 'traffic', 'signs', 'adorned', 'political', 'graffiti']"
269.jpg,1,"['boy', 'brown', 'field', 'kites', 'air']"
270.jpg,7,"['blue', 'white', 'train', 'traveling', 'train', 'tracks']"
271.jpg,1,"['man', 'woman', 'standing', 'together', 'talking']"
272.jpg,1,"['baby', 'laughs', 'sitting', 'table']"
273.jpg,8 1 10 3,"['busy', 'side', 'street', 'filled', 'pedestrians', 'walking', 'storefronts', 'dozens', 'cars', 'riding', 'road']"
274.jpg,1,"['two', 'hands', 'standing', 'holding', 'something']"
275.jpg,7,"['couple', 'train', 'engines', 'riding', 'tracks']"
276.jpg,1,"['woman', 'sitting', 'desk', 'rubbing', 'hands', 'together']"
277.jpg,16,"['bird', 'flying', 'side', 'view', 'mirror']"
278.jpg,1,"['baby', 'diaper', 'laying', 'brown', 'teddy', 'bear']"
279.jpg,1 19,"['horse', 'standing', 'others', 'tied', 'tree', 'sleigh', 'behind']"
280.jpg,1,"['group', 'men', 'posing', 'picture', 'holding', 'tennis', 'racquets']"
281.jpg,1,"['man', 'grassy', 'field', 'holding', 'kite']"
282.jpg,1,"['leaps', 'straight', 'air', 'flying', 'frisbee', 'front']"
283.jpg,3 14,"['old', 'parking', 'meter', 'front', 'nail', 'salon']"
284.jpg,1,"['man', 'holding', 'tennis', 'racquet', 'tennis', 'court']"
285.jpg,19 1 3,"['group', 'cowboys', 'riding', 'horses', 'street']"
286.jpg,1,"['lone', 'female', 'surfer', 'rides', 'small', 'wave']"
287.jpg,1,"['mascot', 'people', 'baseball', 'field']"
288.jpg,1,"['young', 'child', 'holding', 'baseball', 'bat', 'wearing', 'thick', 'jacket']"
289.jpg,1,"['man', 'standing', 'living', 'room', 'filled', 'furniture']"
290.jpg,1,"['two', 'young', 'boys', 'walk', 'apple', 'orchard']"
291.jpg,16,"['white', 'bird', 'perched', 'window', 'looking', 'inside']"
292.jpg,2,"['desk', 'filled', 'assorted', 'electronics', 'phone']"
293.jpg,5,"['four', 'jets', 'breaking', 'formation', 'cloudy', 'sky', 'power', 'lines']"
294.jpg,1 3,"['man', 'white', 'fedora', 'holds', 'rainbow', 'umbrella']"
295.jpg,1,"['woman', 'flys', 'kite', 'cloudy', 'beach']"
296.jpg,1,"['black', 'white', 'picture', 'two', 'women', 'kitchen']"
297.jpg,16,"['colorful', 'hummingbird', 'flying', 'next', 'bird', 'feeder']"
298.jpg,1 9,"['three', 'people', 'walking', 'onto', 'boat', 'holding', 'luggage']"
299.jpg,1,"['piece', 'pottery', 'ancient', 'images', 'inside', 'display', 'case']"
300.jpg,1,"['man', 'holding', 'teddy', 'bear', 'sign', 'next', 'man', 'holding', 'stuffed', 'animal', 'cow', 'red', 'phone']"
301.jpg,1 17,"['cat', 'laying', 'someone', 'lap', 'sit', 'couch']"
302.jpg,1 18,"['brown', 'dog', 'biting', 'something', 'owner']"
303.jpg,1,"['man', 'riding', 'wave', 'surfboard', 'ocean']"
304.jpg,1 19,"['person', 'riding', 'back', 'horse', 'next', 'body', 'water']"
305.jpg,1,"['goalie', 'standing', 'front', 'soccer', 'goal']"
306.jpg,16,"['bird', 'standing', 'ground']"
307.jpg,16,"['two', 'birds', 'walking', 'alone', 'wooden', 'rail', 'park']"
308.jpg,1,"['bearded', 'man', 'red', 'cap', 'skateboard']"
309.jpg,1,"['man', 'skateboarding', 'red', 'pavement', 'board']"
310.jpg,1,"['woman', 'riding', 'large', 'elephant', 'forest']"
311.jpg,1,"['two', 'men', 'standing', 'hill', 'snow', 'skis']"
312.jpg,17,"['small', 'cat', 'sitting', 'top', 'luggage']"
313.jpg,1,"['image', 'people', 'looking', 'cactus', 'rain']"
314.jpg,8 1 3,"['city', 'street', 'filled', 'lots', 'traffic']"
315.jpg,1,"['three', 'guys', 'playing', 'white', 'frisbee']"
316.jpg,16,"['single', 'bird', 'standing', 'beach', 'water']"
317.jpg,1,"['two', 'brown', 'teddy', 'bears', 'sitting', 'floor', 'next', 'piano']"
318.jpg,1,"['group', 'people', 'field', 'near', 'many', 'trees']"
319.jpg,1,"['girl', 'first', 'base', 'another', 'batter', 'getting', 'ready', 'bat']"
320.jpg,8 1 10 3,"['construction', 'working', 'fixing', 'street', 'sign']"
321.jpg,1,"['person', 'riding', 'side', 'snow', 'covered', 'slope']"
322.jpg,1,"['woman', 'standing', 'table', 'covered', 'desserts']"
323.jpg,8 1 3 4,"['black', 'white', 'sign', 'street', 'cars', 'trees']"
324.jpg,18,"['dog', 'catching', 'blue', 'frisbee', 'field']"
325.jpg,1,"['man', 'woman', 'beach', 'front', 'ocean', 'small', 'waves']"
326.jpg,1,"['woman', 'man', 'standing', 'next', 'table']"
327.jpg,3,"['elephant', 'standing', 'grass', 'covered', 'field']"
328.jpg,4,"['motor', 'bike', 'parked', 'outside', 'gravel', 'road']"
329.jpg,1,"['office', 'corner', 'desk', 'full', 'three', 'desk', 'top', 'computers', 'paper']"
330.jpg,1,"['couple', 'snowboarders', 'coming', 'hill']"
331.jpg,17,"['tail', 'cat', 'hanging', 'outside', 'suitcase']"
332.jpg,1,"['man', 'riding', 'surfboard', 'middle', 'ocean']"
333.jpg,18,"['dog', 'wearing', 'santa', 'claus', 'hat']"
334.jpg,1,"['several', 'suitcases', 'pair', 'shoes', 'hand', 'bag', 'hallway']"
335.jpg,1,"['girl', 'playing', 'tennis', 'hitting', 'serve']"
336.jpg,18,"['cluttered', 'wood', 'finished', 'room', 'dog', 'laying', 'next', 'chair', 'rug']"
337.jpg,8 1 6 7,"['commuter', 'rail', 'crossing', 'bridge', 'many', 'people', 'walking', 'alongside', 'sidewalk']"
338.jpg,1,"['group', 'men', 'sitting', 'around', 'table']"
339.jpg,3 1 2 10,"['city', 'traffic', 'large', 'boulevard', 'shown', 'dusk']"
340.jpg,1 19 15,"['people', 'horses', 'local', 'park']"
341.jpg,18 15,"['dog', 'frisbee', 'mouth', 'green', 'grass']"
342.jpg,1,"['three', 'woman', 'man', 'restaurant']"
343.jpg,1,"['tall', 'giraffe', 'standing', 'behind', 'cage', 'next', 'people']"
344.jpg,1,"['half', 'eaten', 'piece', 'pizza', 'sits', 'white', 'plate', 'hand', 'holding', 'fork', 'piece', 'pizza']"
345.jpg,1,"['woman', 'kitchen', 'preparing', 'food', 'wearing', 'apron']"
346.jpg,1,"['tray', 'topped', 'bowls', 'different', 'kinds', 'food']"
347.jpg,1,"['surfer', 'beach', 'catching', 'wave']"
348.jpg,17 3,"['large', 'orange', 'white', 'cat', 'laying', 'top', 'table']"
